BLOOM,CRF
Partes,
1 gangorra 2 lugares e 1 túnel lúdico,
sal para gerador de cloro,aquisição de sal para gerador de cloro
Contratação de empresa especializada em para execução de serviços de pavimentação em bloquetes sextavados no município Berizal MG,pavimentação em bloquetes sextavados
manutenção de piscina,materiais para a manutenção de piscina durante o ano de 2020.Nº do contrato
TRANSLADO E EMBALSAMENTO,
Apresentação de shows,
Aquisição de telhas galvanizadas para uso na proteção da obras de reforma da Praça do Lindinho,telhas galvanizadas
PNEU 225/50 R17 UND 12,
extensão de rede elétrica,
aquisição de válvulas borboletas com atuadores elétricos,válvulas borboletas com atuadores elétricos
treliça de viga e cantoneiras semelhante às instaladas na Av. D. Pedro II,
PAPEL LINHO,
hospedagem para albergamento temporário da população migrante,hospedagem
Aquisição de pneus,pneus
01 unidade móvel de saúde tipo Furgão,01 unidade móvel de saúde tipo Furgão de acordo com o Termo de Compromisso nº 3100101712282046598
LOCAÇÃO DE EQUIPAMENTOS ELETRÔNICOS PARA O PROGRAMA ACESSUAS TRABALHO,LOCAÇÃO DE EQUIPAMENTOS ELETRÔNICOS
Prestação de serviços de pintura externa e tratamento de trincas do imóvel onde funciona o CISVI Consórcio Intermunicipal de Saúde da Região do Vale do Itapecerica,Prestação de serviços de pintura externa e tratamento de trincas do imóvel
CBUQ CAP 20 RL,USINAGEM E FORNECIMENTO PARCELADO DE CBUQ CAP 20 RL
CONTRATAÇÃO DE EMPRESA PARA AQUISIÇÃO DE FOGOS DE ARTIFICIOS E APRESENTAÇÃO DE SHOW PIROTECNICO,FOGOS DE ARTIFICIOS E APRESENTAÇÃO DE SHOW PIROTECNICO
ENXOVAL HOSPITALAR,
LOCAÇÃO DE IMPRESSORAS,LOCAÇÃO DE IMPRESSORAS MULTIFUNCIONAIS
não compareceu,
credenciamento de pessoa física para prestação de serviço de transporte eventual de táxi,transporte eventual de táxi
CONTRATACAO DE EMPRESA ESPECIALIZADA NA PRESTACAO DE SERVICOS DE TRANSPORTE DE ESTUDANTES DA REDE PUBLICA MUNICIPAL DE ENSINO DE ALVORADA DE,
peças novas e prestação de serviços mecânico para o caminhão Iveco Eurocargo de lixo – placa,Formação de registro de preços para aquisição de peças novas e prestação de serviços mecânico para o caminhão Iveco Eurocargo de lixo
Psicologa,
1ª etapa do recapeamento e alargamento da Avenida João Paulo II,prorrogação de prazo contratual de contrato de prestação de serviços da 1ª etapa do recapeamento e alargamento da Avenida João Paulo II
Prorrogação de vigência,
Prestação de serviços de digitador para bolsa família e para atender a secretaria municipal de Ação Social,Prestação de serviços de digitador para bolsa família e
serviços de confecção de prótese,prestação de serviços de confecção de prótese
fralda e material de higiene para distribuição a pessoas carentes,fralda e material de higiene
contratação da empresa,
Registro de preços para fornecimento de combustível óleo diesel para o grupo gerador instalado na Estação Elevatória de Água Bruta,combustível óleo diesel para o grupo gerador instalado na Estação Elevatória de Água Bruta
serviços de escavadeira para realização de curva de nivel,
PANIFICADORA PÃO GOSTOSO DE CENTRALINA LTDA,
FOGOS DE ARTIFÍCIO PARA O RÉVEILLON 2019/2020,FOGOS DE ARTIFÍCIO
pneus novos,
prestação de serviços de recapagem de pneus,recapagem de pneus
01 cadeira giratória alta com regulagem de altura para uso dos profissionais que realizam exames de ultrassonografias e ecocardiograma nos pacientes dos municípios consorciados e aquisição de 04 cadeiras digitador giratória com regulagem de altura,01 cadeira giratória alta
alimentação,alimentação para fornecimento de refeições prontas tipo marmitex e refeições individuais no quilo de forma parcelada
Diesel S10,combustível Diesel S10
Prestação de serviços de realização do carnaval 2017 nos dias 25 à 28 de fevereiro de 2017,Prestação de serviços de realização do carnaval 2017 nos dias 25 à 28 de fevereiro de 2017 Despacho
CERCA TIPO CONCERTINA,
CERCA TIPO CONCERTINA,
Envelopamento Para Van Para Atender As Necessidades Da Secretaria Municipal De Desenvolvimento Social,
CLÍNICA MÉDICA DE UROLOGIA DE MURIAÉ LTDA,
CLÍNICA MÉDICA DE UROLOGIA DE MURIAÉ LTDA,
UMA BRINQUEDOTECA PARA A UNIDADE DE ACOLHIMENTO INSTITUCIONAL LAR DOM BOSCO,UMA BRINQUEDOTECA
obra de Construção de Unidade Básica de Saúde – UBS Distrito de Serra Bonita,Construção de Unidade Básica de Saúde – UBS Distrito de Serra Bonita
prestação de serviços de fornecimento de alimentação e hospedagem na zona rural e Sede do Município,fornecimento de alimentação e hospedagem na zona rural e Sede do Município
CONSYSTEM LTDA,
prestação de serviços técnicos profissionais em Assessoria e Consultoria para recuperação de créditos previdenciários,Contratação de empresa especializada na prestação de serviços técnicos profissionais em Assessoria e Consultoria para recuperação de créditos previdenciários
materiais de Raio X e Laboratório para atendimento a Secretaria de Saúde deste Município de Matutina,aquisição de materiais de Raio X e Laboratório para atendimento a Secretaria de Saúde deste Município de Matutina
POUSADA DO PILAR LTDA – ME,
acompanhamento do VAF – Valor Adicionado Fiscal,
Plano de Saúde e Acessoria Médica Ltda,
Contratação de empresa especializada para fornecimento de Fogos de Artifícios,Fogos de Artifícios
show artístico com o Cantor Neto LX e Banda para apresentação nas festividades do Sr. Bom Jesus,Contratação de empresa para promoção de show artístico com o Cantor Neto LX e Banda para apresentação nas festividades do Sr. Bom Jesus – Motivo
Oxigênio Medicinal,
reforma e ampliação do mercado municipal,
CREDENCIAMENTO INDIVIDUAL,
EXAME CITOPATOLÓGICO /DIAGNÓSTICO POR ANATOMIA PATOLÓGICA E CITOPATOLÓGICO,Credenciamento de Pessoas Jurídicas para PRESTAÇÃO DE SERVIÇOS AMBULATORIAIS DE EXAME CITOPATOLÓGICO /DIAGNÓSTICO POR ANATOMIA PATOLÓGICA E CITOPATOLÓGICO PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAÚDE DURANTE O
uma máquina digitalizadora,máquina digitalizadora
serviços de serralheria,Prestação de serviços de serralheria
SINALIZAÇÃO VIÁRIA HORIZONTAL,REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS DE SINALIZAÇÃO VIÁRIA HORIZONTAL
Registro de Preços para aquisição futura e eventual de equipamentos e materiais de informática,equipamentos e materiais de informática
prestação de serviços especializados de consultoria e assessoria administrativa e jurídica para fins de recuperação de verbas indenizatórias,consultoria e assessoria administrativa e jurídica para fins de recuperação de verbas indenizatórias
Confecção de ovos de páscoa para as crianças pelo CRAS,
Roçadeira á Gasolina e operador,
Fonoaudiologia,
instrumentos musicais,instrumentos musicais destinados a Banda Lira 1º de Maio
Instrumentos Musicais,
prestação de serviços médicos de otorrino para atender aos usuários do SUS,
peças originais e conjuntos acessórios de primeira linha para todas as secretarias Município e conveniados,peças originais e conjuntos acessórios de primeira linha
sistema integrado de gestão pública municipal,Contratação de empresa para o fornecimento de sistema integrado de gestão pública municipal
registro de preço para futura e eventual contratação de empresa especializada para fornecimento de pneumáticos novos e serviços de reformas de pneus para manutenção da frota de veículos desta municipalidade,reformas de pneus
um trator agrícola de pneus,trator agrícola de pneus
UTI móvel,
Bombas submersas,
CAMINHÃO MUNCK,CAMINHÃO MUNCK PARA LEVANTAMENTO DE SUPORTE DE CAIXA DE ÁGUA
MONITOR DE SINAIS VITAIS PARA ATENDER A SECRETARIA MUICIPAL DE SAÚDE,AQUISIÇÃO DE MONITOR DE SINAIS VITAIS PARA ATENDER A SECRETARIA MUICIPAL DE SAÚDE
ar condicionado,Aquisição de ar condicionado para ser instalado na sala em que irá ficar os equipamentos de vigilância do vídeo monitoramento
poltrona giratória,giratória e mesa de escritório para o quartel da Guarda Civil Municipal
mesa de escritório para o quartel da Guarda Civil Municipal,giratória e mesa de escritório para o quartel da Guarda Civil Municipal
TRATOR AGRÍCOLA 4 X 4,TRATOR AGRÍCOLA 4 X 4 PARA MANUTENÇÃO DAS ATIVIDADES DA SECRETARIA MUNICIPAL DE OBRAS
CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE CHAVEIRO E CONFECÇÃO DE CARIMBOS PARA ATENDER OS DIVERSOS SETORES DA ADMINISTRAÇÃO MUNICIPAL,CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE CHAVEIRO E CONFECÇÃO DE CARIMBOS
consultoria em Educação Patrimonial visando à valorização dos modos de fazer o Pão de Queijo e as Quitandase Paracatuenses conforme exigências dos Planos de Salvaguarda de Registros,consultoria em Educação Patrimonial
playgrounds,contratação de empresa para fornecimento e instalação de playgrounds na Sede e nos Distritos do Município de Diamantina
Registro de preços para aquisições futuras e eventuais de leites e suplementos alimentares para atendimento a pacientes do SUS acobertados por mandados judiciais e outros da Secretaria Municipal de Saúde- Valor do Contrato,leites e suplementos alimentares
ORIENTADOR SOCIAL,CONTRATAÇÃO DE SERVIÇOS PROFISSIONAIS DE ORIENTADOR SOCIAL
medicamentos manipulados,medicamentos manipulados para atendimento a Ordens Judiciais
gêneros alimentícios destinados ao Programa Nacional de Alimentação Escolar das escolas da rede municipal do Município de Braúnas e recarga de gás GLP P-13,Aquisição de gêneros alimentícios destinados ao Programa Nacional de Alimentação Escolar das escolas da rede municipal do Município de Braúnas e recarga de gás GLP P-13
confecção de PRÓTESES DENTÁRIA,Prestação de serviços em confecção de PRÓTESES DENTÁRIA
serviços advocatícios especializados,prestação de serviços advocatícios especializados
1.000 consultas médicas especializadas em Urologia,Realização de 1.000 consultas médicas especializadas em Urologia
prestação de serviços de aerofotogrametria utilizando drone,
Uniformes,
gêneros alimentícios da Agricultura Familiar e do Empreendedor Familiar Rural,
aquisição de camisetas,camisetas de conformidade com as especificações e quantitativos descritos no Anexo I.
mudança do itinerário,aumento da quilometragem da linha e mudança do itinerário
CONTRATAÇÃO DE EMRESA PARA FORNECIMENTO DE PEÇAS E MÃO DE OBRA PARAMANUTENÇÃO DE BOMBAS SUBMERSAS PARA ATENDER ÁS NECESSIDADES DA SECRETARIA,PEÇAS E MÃO DE OBRA PARAMANUTENÇÃO DE BOMBAS SUBMERSAS PARA ATENDER ÁS NECESSIDADES DA SECRETARIA MUNICIPAL DE AGRICULTURA
prestação de serviços médicos especializados,serviços médicos especializados
serviços gráficos,serviços gráficos para diversos Setores da Administração de Capitão Andrade-MG
Prestação de Serviços Gráficos,Serviços Gráficos
TIPO CÓPIAS LTDA ME,
Coleta de Material de Tireoide- PAAF,
VEÍCULO 0Km,
Concurso Público,
Contratação de pessoa jurídica para prestação de serviços médicos especializados em cardiologia para realização de consultas e exames cardiológicos,serviços médicos especializados em cardiologia para realização de consultas e exames cardiológicos
serviços de provedor de internet para manutenção dos serviços e do convênio firmado com a polícia militar do Estado de Minas Gerais,provedor de internet para manutenção dos serviços e do convênio firmado com a polícia militar do Estado de Minas Gerais
Aquisição de Materiais e Equipamentos para implantação de Sistema de Abastecimento de Água,Materiais e Equipamentos para implantação de Sistema de Abastecimento de Água
JORNAL TABLOIDE DA EDITORA AMIGOS DA NATUREZA LTDA,JORNAL TABLOIDE
Etanol LT,
PRESTAÇÃO DE SERVIÇOS AMBULATORIAIS DE EXAME CITOPATOLÓGICO /DIAGNÓSTICO POR ANATOMIA PATOLÓGICO PARA ATENDER AS NECESSIDADES DA,PRESTAÇÃO DE SERVIÇOS AMBULATORIAIS DE EXAME CITOPATOLÓGICO /DIAGNÓSTICO POR ANATOMIA PATOLÓGICO
Diário Oficial da União para atender as demandas de rotina e exigências de publicidade da Prefeitura pelo período de 12 meses,publicação no Diário Oficial da União
professor de artesanato e design de moda para ministrar aulas nas oficinas realizadas pelo CRAS,
PRESTAÇÃO DE SERVIÇOS TÉCNICOS PROFISSIONAIS DE MÉDICO VETERINÁRIO PARA ATENDIMENTO AOS PRODUTORES RURAIS,PRESTAÇÃO DE SERVIÇOS TÉCNICOS PROFISSIONAIS DE MÉDICO VETERINÁRIO
gêneros alimentícios,gêneros alimentícios para atendimento das Secretarias do município de Piedade de Ponte Nova-MG
horas de retroescavadeira,Contratação de serviços de horas de retroescavadeira
um rolo compactador vibratório,rolo compactador vibratório
arrecadação da contribuição para custeio de serviço de Iluminação Pública do Município de Prata- MG,Contratação de empresa para arrecadação da contribuição para custeio de serviço de Iluminação Pública do Município de Prata- MG
manutenção emergencial do sistema de iluminação pública do Município de Astolfo Dutra,contratação de serviços e materiais para manutenção emergencial do sistema de iluminação pública do Município de Astolfo Dutra
transporte escolar,
Aquisição de dois veículos,dois veículos
CONTRATADA,
Termo fomento entre a prefeitura municipal de Abadia dos Dourados e o Rotary Clube para auxiliar despesas confraternização dos dias da criança,
material esportivo,material esportivo para escolinha de futebol e secretaria de esporte do Município de Pedra Bonita
Contratação de empresa especializada na prestação de serviços de usinagem de CBQU,usinagem de CBQU
veículo utilitário Zero Quilometro para atender a Secretaria de Educação,veículo utilitário Zero Quilometro
prestação de serviços de consultoria e assessoria técnica continuada na gestão das atividades da Secretaria Municipal de Assistência Social e órgãos vinculados de Santo Antônio do Rio Abaixo / MG,consultoria e assessoria técnica
locação de som pequeno e médio porte,som pequeno e médio porte
Aquisição de,
pavimentação de bloquetes sextavados e piso intertravado em vias publicas deste Município,pavimentação de bloquetes sextavados
Móveis e Utensílios,
software e implantação de sistema integrado de gestão de saúde pública acessível pela internet,serviços na área de saúde pública por meio de cessão de uso de software e implantação de sistema integrado de gestão de saúde pública acessível pela internet
MATERIAIS PARA RESTAURAÇÃO DA ESTRUTURA DA CAPELA NOSSA SENHORA DO CARMO BEM PATRIMONIAL IMÓVEL DO MUNICÍPIO DE PIRANGUINHO TOMBADO,MATERIAIS PARA RESTAURAÇÃO DA ESTRUTURA DA CAPELA NOSSA SENHORA DO CARMO BEM PATRIMONIAL IMÓVEL DO MUNICÍPIO DE PIRANGUINHO TOMBADO POR
locação de veículo utilitário de no mínimo 15 lugares com motorista,locação de veículo utilitário de no mínimo 15 lugares com motorista para transporte no perímetro urbano e rural do município
02 computadores e 02 adaptadores,
Aquisição de fornecimento de equipamento Flexlink l Accu-Chek e demais componentes de Kit de bomba de Insulina,fornecimento de equipamento Flexlink l Accu-Chek e demais componentes de Kit de bomba de Insulina
PROPAGANDA VOLANTE,PRESTAÇÃO DE SERVIÇO DE PROPAGANDA VOLANTE
ladrilhos hidráulicos,ladrilhos hidráulicos para serem utilizados na obra de reforma e restauração da Igreja do Rosário
Assessoria em Compras e Licitações para atender a Secretaria de Administração da Prefeitura Municipal de Santa Efigênia de Minas,Prestação de serviços de Assessoria em Compras e Licitações
CONFECÇÃO DE CAMISAS E CAMISETAS,CAMISAS E CAMISETAS
escavação das estacas tipo Strauss e concreto,
LIVROS LITERÁRIOS,LIVROS LITERÁRIOS VISANDO A AMPLIAÇÃO DO ACERVO DAS BIBLIOTECAS DAS CRECHES MUNICIPAIS E ESCOLAS DE ENSINO FUNDAMENTAL DO MUNICÍPIO
vidros e para-brisas,vidros e para-brisas veiculares
serviços de Transportes diversos de passageiros,
aplicações oftalmológicas com medicamento Eylia,
brigada de incêndio e emergência,Contratação de serviços com a brigada de incêndio e emergência
Acompanhamento e Fiscalização de Obras na manutenção das atividades do Município,Contratação de Pessoa Física ou Jurídica especializada para Prestação de serviços de Acompanhamento e Fiscalização de Obras
palestrante Meirijane Teodoro,
CONTRATO Nº 005/2013 DE PRESTAÇÃO DE SERVIÇOS – PROCESSO LICITATORIO Nº. 006/13- INIXIGIBILIDADE de LICITAÇÃO 001/2013,
Confecção de blocos cadastrais para o Programa e-SUS AB,Confecção de blocos cadastrais para o Programa e-SUS AB que auxilia no apoio a gestão do processo de trabalho
CREDENCIAMENTO,
EXTINTORES E EQUIPAMENTOS DE COMBATE A INCÊNDIO,MANUTENÇÃO DE EXTINTORES
gás medicinal,gás medicinal e locação de cilindro para o Hospital Municipal e Unidades Básicas de Saúde
manutenção e recuperação de vias públicas localizadas no centro do Município de Lambari,
ressonancia magnetica de joelhos e quadril para o paciente Kaua felipe da silva Santos,
consultas especializadas em cardiologia,prestação de serviços para consultas especializadas em cardiologia
itens frustrados na licitação de materiais de construção,Registro de preços para futura e eventual aquisição itens frustrados na licitação de materiais de construção
locação de caminhão pipa,prestação de serviços e locação de caminhão pipa
Contratação de seguradora destinada aos veículos do Departamento Municipal de Educação,
MOTONIVELADORA,máquina MOTONIVELADORA
Contratação de ME EPP ou equiparadas para fornecimento de brinquedos em atendimento a demanda da secretaria de assistência social,
capacitação para profissionais de educação,serviços de capacitação para profissionais de educação
para abastecimento dos veículos pertencentes à frota municipal e/ou sob responsabilidade do Município,
carne bovina de segunda moída,Fornecimento de carne bovina de segunda moída
serviços técnicos especializados em assessoria e consultoria em licitações e contratos administrativos,Contratação de empresa na prestação de serviços técnicos especializados em assessoria e consultoria em licitações e contratos administrativos
lâmpadas diversas,
veiculo 0 KM tipo van em atendimento ao Convênio firmado com Secretaria de Estado de Minas Gerais,veiculo 0 KM tipo van em atendimento ao Convênio
Aquisição de material médico hospitalar,Aquisição de material médico hospitalar para atender aos setores
para atender aos setores,Aquisição de material médico hospitalar para atender aos setores
veículo 0Km tipo motocicleta e equipamentos,veículo 0Km tipo motocicleta e equipamentos Detentora
servidor para processamento de dados,servidor para processamento de dados e um nobreak para uso na gestão contábil e administrativa do município de Ouro Fino
nobreak para uso na gestão contábil e administrativa,servidor para processamento de dados e um nobreak para uso na gestão contábil e administrativa do município de Ouro Fino
emulsão asfáltica,emulsão asfáltica RM-1C para recomposição de asfalto ou calçamentos
elaboração de projetos de restauração da Estação Ferroviária do Distrito de Conselheiro Mata,contratação de empresa para elaboração de projetos de restauração da Estação Ferroviária do Distrito de Conselheiro Mata
IMPRESSORA MULTIFUNCIONAL,IMPRESSORA MULTIFUNCIONAL PARA USO DESTA CASA
aquisição de material para manutenção e equipamentos de informatica,material para manutenção e equipamentos de informatica
escola de futebol para as crianças e adolescentes de 06 a 16 anos de idade deste Município,escola de futebol
conserto nos relógios de ponto da Prefeitura Municipal,conserto nos relógios de ponto
PERSIANAS,
AQUISIÇÃO DE VEÍCULOS ZERO QUILOMÊTRO PARA ATENDER À SECRETARIA MUNICIPAL DE SAÚDE,AQUISIÇÃO DE VEÍCULOS ZERO QUILOMÊTRO
serviço de reparo em sistema hidráulico e de injeção do veículo caminhão Iveco placa HMN 9679,
prestação de serviços de transporte escolar,transporte escolar
ÁGUA MINERAL E GÁS DE COZINHA GLP,ÁGUA MINERAL E GÁS DE COZINHA
portas e janelas para atender a demanda da Escola Municipal Rosa Pedroso de Almeida,portas e janelas
seguros total de veículos para manutenção de diversos veículos da frota municipal,Contratação de seguros total de veículos para manutenção de diversos veículos da frota municipal
apresentações musicais noturnas de artistas locais,
prestação de serviços técnicos especializados em assessoria em contabilidade pública e responsabilidade técnica com registro no conselho de classe,
vidro temperado,vidro temperado pra atender as necessidades da E.M.Madre dos Anjos Amorim
AQUISIÇÃO DE COMBUSTIVEIS E LUBRIFICANTES DESTINADOS A MANUTENÇÃO DA FROTA MUNICIPAL DA CIDADE DE SERRA AZUL DE MINAS PARA O EXERCICIO DE 2015,COMBUSTIVEIS E LUBRIFICANTES DESTINADOS A MANUTENÇÃO DA FROTA MUNICIPAL DA CIDADE DE SERRA AZUL DE MINAS PARA O EXERCICIO DE 2015
Supressão de árvore em área de risco em logradouros públicos,Prestação de serviços de Supressão de árvore em área de risco em logradouros públicos
prestação de serviços de mão de obra para realização de serviços topográficos para pavimentação asfáltica conforme item 2.12 da Emenda Parlamentar nº 15.847/2016 no município de Felixlândia,mão de obra para realização de serviços topográficos para pavimentação asfáltica
serviços técnicos profissionais especializados em Psicologia,Contratação de serviços técnicos profissionais especializados em Psicologia
prestação de serviços de transporte de pacientes em tratamento de saúde fora do Município,transporte de pacientes em tratamento de saúde fora do Município
Processo Licitatório nº. 018/2020- Pregão Presencial nº. 017/2020 Data da Abertura,
Contratação de empresa para prestação de serviços técnicos especializados em assessoria e consultoria em contabilidade pública,prestação de serviços técnicos especializados em assessoria e consultoria em contabilidade pública
transporte de alunos conforme rotas descritas no edital e seus anexos,prestadores de serviços para transporte de alunos
técnico em radiologia para preparação e operação de equipamentos radiográficos para raios-x odontológico,prestador de serviços em técnico em radiologia
fornecimento e plantio de grama de pasto para o campo do Cruzeiro,grama de pasto para o campo do Cruzeiro no bairro Barreiro
CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS DE CAPEAMENTO E PAVIMENTAÇÃO ASFÁLTICA,CAPEAMENTO E PAVIMENTAÇÃO ASFÁLTICA
IX Conferência Municipal de Assistência Social,
MANUTENÇÃO E CONSERTO DE FREEZER,
Pão de Sal tipo francês,
Pão doce tipo cachorro quente,
AQUISICAO DE LICENÇA DE SOFTWARE PARA AUXILIAR NA EMISSAO DE LAUDOS NO LABORATORIO DE ANALISES CLINICAS DO MUNICIPIO DE ALVORADA,LICENÇA DE SOFTWARE PARA AUXILIAR NA EMISSAO DE LAUDOS NO LABORATORIO DE ANALISES CLINICAS DO MUNICIPIO DE ALVORADA DE MINAS
30 diárias da reforma de casas para a reforma do colégio e da sede da Prefeitura,Remanejamento de 30 diárias da reforma de casas
construção de Unidades Sanitárias Domiciliares no município de Grão Mogol,construção de Unidades Sanitárias Domiciliares
marmitex,prestação de serviços de refeições marmitex e lanches
BOTINA,
publicação dos atos oficiais do Município de Casa Grande – MG,
prestação de serviços de operação de som e manutenções preventivas e corretivas nos equipamentos de sonorização da Câmara Municipal de Poços de Caldas,operação de som e manutenções preventivas e corretivas nos equipamentos de sonorização da Câmara Municipal de Poços de Caldas
reforma de traves do Estádio Municipal e Ginásio Esportivo,Prestação de serviços de reforma de traves do Estádio Municipal e Ginásio Esportivo
Credenciamento de Laboratórios de Prótese Dentárias,Laboratórios de Prótese Dentárias
Contratação de empresa para prestação de serviços com reparos e manutenção em consultórios odontológicos e aparelhos diversos,prestação de serviços com reparos e manutenção em consultórios odontológicos e aparelhos diversos
contratação de empresa para fornecimento de extintores de incêndio para atender as necessidades das escolas da rede municipal de ensino e da secretaria municipal de educação,extintores de incêndio
locação de sistema para RPPS,
EQUIPO PARA BOMBA DE INFUSÃO LIFEMED PARA SOLUÇÕES PARENTERAIS,EQUIPO PARA BOMBA DE INFUSÃO LIFEMED
ônibus e micro-ônibus destinados a transporte municipal e intermunicipal de estudantes,locação de ônibus e micro-ônibus destinados a transporte municipal e intermunicipal de estudantes para manutenção das atividades das secretarias municipais
EXAMES ESPECIALIZADOS,CONTRATAÇÃO DE EMPRESA PARA REALIZAÇÃO DE EXAMES ESPECIALIZADOS
CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE UM TRATOR AGRÍCOLA E UMA CARRETA AGRÍCOLA,TRATOR AGRÍCOLA E UMA CARRETA AGRÍCOLA
VALOR GLOBAL,
ultrassonografia eletiva,Credenciamento de serviços de ultrassonografia eletiva
PUBLICAÇÃO DE ATOS OFICIAIS DO MUNICÍPIO NO DIÁRIO OFICIAL DA UNIÃO- DOU,
serviços de segurança para apoio a Polícia Militar no carnaval 2014,segurança para apoio a Polícia Militar no carnaval 2014
CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE OBRAS DE MELHORAMENTO DE VIAS PÚBLICAS,
DIGITALIZAÇÃO DE DOCUMENTOS COM FORNECIMENTO DE MÃO DE OBRA E SOFTWARE,DIGITALIZAÇÃO DE DOCUMENTOS COM FORNECIMENTO DE MÃO DE OBRA E SOFTWARE PARA ATENDER AS NECESSIDADES DO MUNICÍPIO DE CARBONITA
cortina de blackout e kit de bastão,cortina de blackout e kit de bastão para atender à creche Dona Zica Cesário
tendas piramidais,tendas piramidais destinados as Feiras Livres dos Produtores Rurais do Município de Cabeceira Grande- MG
Registro de Preços para contratação de empresa para fornecimento de refeições,refeições
link dedicado de acesso á internet,link dedicado de acesso á internet pata manutenção das atividades da Câmara Municipal
Registro de preço para prestação de serviços de extensão de rede elétrica e iluminação pública,prestação de serviços de extensão de rede elétrica e iluminação pública
TERMO DERATIFICAÇÃODE DISPENSADE LICITAÇÃO nº.0043/2014,
POLPAS DE FRUTAS,REGISTRO DE PREÇOS VISANDO AQUISIÇÕES FUTURAS DE POLPAS DE FRUTAS destinadas ao atendimento da merenda escolar das Escolas Públicas Municipais de João Monlevade
CONJUNTO ALUNO MESA EM FORMATO TRAPEZIO INFANTIL PARA USO COLETIVO A SER UTILIZADO NO CEMEI MARIA ALVES DE BRITO,CONJUNTO ALUNO MESA EM FORMATO TRAPEZIO INFANTIL
Cintilografia Óssea,
Assessoria de Imprensa,
Contratação de empresa especializada para prestação de serviços na realização de eventos para as comemorações da 43ª Festa do Arroz no Distrito de São Brás de Minas do Município de Lagamar,
Sistema de alarme e câmeras de segurança,Sistema de alarme e câmeras de segurança para resguardar o imóvel da Secretaria de Educação e da Escola Municipal Dario Augusto
Portal de Transparência,
TERMÔMETRO PISTOLA A LASER,AQUISIÇÃO DE TERMÔMETRO PISTOLA A LASER PARA ATENDER AS NECESSIDADES DA VIGILÂNCIA SANITÁRIA
coroa de flores,coroa de flores destinadas a homenagens póstumas a serem realizadas pela administração
EQUIPAMENTOS DE INFORMATICA,EQUIPAMENTOS DE INFORMATICA PARA MANUTENCAO DAS ATIVIDADES DAS DIVERSAS SECRETARIAS DO MUNICIPIO
serviços de contabilidade para prestação de serviços de emissão de notas fiscais para os Agricultores da Agricultura Familiar durante o ano de 2016,
Contratação de microempresas e/ou empresas de pequeno porte e /ou equiparadas na forma da lei LC 123/2006 para prestação de serviços de Transporte de pacientes em atendimento à solicitação da Secretaria Municipal de Saúde do Município de São João da Ponte – MG,Transporte de pacientes
LOCAÇÕES DE MÁQUINA MOTONIVELADORA E CAMINHÃO CAÇAMBA PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE OBRAS,REGISTRO DE PREÇOS PARA FUTURAS E EVENTUAIS LOCAÇÕES DE MÁQUINA MOTONIVELADORA E CAMINHÃO CAÇAMBA
CONTRATAÇÃO DE PESSOA FÍSICA OU JURÍDICA PARA PRESTAÇÃO DE SERVIÇOS DE AULAS DE DESENHO PARA ATENDIMENTO DE FAMÍLIAS CARENTES POR,CONTRATAÇÃO DE PESSOA FÍSICA OU JURÍDICA PARA PRESTAÇÃO DE SERVIÇOS DE AULAS DE DESENHO PARA ATENDIMENTO DE FAMÍLIAS CARENTES
CONSTRUTORA BOLINHA LTDA-ME,
GASOLINA,
GASOLINA,GASOLINA ADITIVADA E DIESEL COMUM
reforma da Escola Municipal Monsenhor Moreira localizada na Comunidade do Rancho Novo,reforma da Escola Municipal Monsenhor Moreira
CADEIRAS ODONTOLÓGICAS COMPLETAS PARA ATENDIMENTO ÀS DEMANDAS DA SECRETARIA MUNICIPAL DE SAÚDE,CADEIRAS ODONTOLÓGICAS COMPLETAS
CONTRATAÇÃO DE PESSOA JURÍDICA COM SERVIÇOS DE ULTRASSONOGRAFIA,
UMA MOTOCICLETA ZERO KM E QUATRO TELEVISORES DE LED,UMA MOTOCICLETA ZERO KM
Show Musical de Banda de Musica de instrumentos de Sopro no Centro Histórico da cidade de Grão Mogol durante as Festividades do Carnaval/2016,Prestação de Serviços com Show Musical de Banda de Musica de instrumentos de Sopro no Centro Histórico da cidade de Grão Mogol durante as Festividades do Carnaval/2016
Aquisição de peças originais e genuínas para veículos leves e pesados e máquinas pertencentes à frota municipal,
monitor de oficina de corte e costura,monitor de oficina de corte e costura para atender as necessidades do CRAS
contratação de estrutura para carnaval 2017 e aquisições diversas,estrutura para carnaval 2017 e aquisições diversas
Geomembrana PEAD,
prestação de serviços de 684 horas trabalhadas de propaganda volante,
LUVAS DE USO HOSPITALAR,AQUISIÇÃO EMERGENCIAL DE LUVAS DE USO HOSPITALAR
01304494667,
Licença de Uso e Manutenção Mensal de Sistema para gerenciamento de Processo Legislativo em Geral e Consultoria,Licença de Uso e Manutenção Mensal de Sistema
